"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Code\2024\blank_app\src\ThirdPartyServices\FirebaseService.ts", "TypeScript", 92, 0, 0, 0, 18, 110
"c:\Code\2024\blank_app\src\ThirdPartyServices\PusherService.ts", "TypeScript", 79, 0, 0, 0, 13, 92
"c:\Code\2024\blank_app\src\app\about\content.tsx", "TypeScript JSX", 0, 0, 136, 3, 9, 148
"c:\Code\2024\blank_app\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 134, 0, 7, 141
"c:\Code\2024\blank_app\src\app\api\auth\login\route.tsx", "TypeScript JSX", 0, 0, 58, 0, 14, 72
"c:\Code\2024\blank_app\src\app\api\auth\logout\route.tsx", "TypeScript JSX", 0, 0, 47, 2, 10, 59
"c:\Code\2024\blank_app\src\app\api\auth\refresh\route.tsx", "TypeScript JSX", 0, 0, 101, 1, 17, 119
"c:\Code\2024\blank_app\src\app\api\auth\signup\route.tsx", "TypeScript JSX", 0, 0, 59, 0, 13, 72
"c:\Code\2024\blank_app\src\app\api\contact-us\route.ts", "TypeScript", 40, 0, 0, 0, 6, 46
"c:\Code\2024\blank_app\src\app\api\data\route.ts", "TypeScript", 93, 0, 0, 0, 8, 101
"c:\Code\2024\blank_app\src\app\api\files\[id]\route.ts", "TypeScript", 48, 0, 0, 0, 7, 55
"c:\Code\2024\blank_app\src\app\api\files\route.ts", "TypeScript", 51, 0, 0, 0, 8, 59
"c:\Code\2024\blank_app\src\app\api\files\signedUrl\route.ts", "TypeScript", 31, 0, 0, 0, 6, 37
"c:\Code\2024\blank_app\src\app\api\files\sync\route.ts", "TypeScript", 46, 0, 0, 0, 10, 56
"c:\Code\2024\blank_app\src\app\api\inquiry\[id]\reply\[replyId].ts", "TypeScript", 62, 0, 0, 0, 11, 73
"c:\Code\2024\blank_app\src\app\api\inquiry\[id]\reply\index.ts", "TypeScript", 66, 0, 0, 0, 9, 75
"c:\Code\2024\blank_app\src\app\api\inquiry\[id]\route.ts", "TypeScript", 143, 0, 0, 3, 20, 166
"c:\Code\2024\blank_app\src\app\api\inquiry\route.ts", "TypeScript", 63, 0, 0, 0, 13, 76
"c:\Code\2024\blank_app\src\app\api\me\getSignedUrl\route.ts", "TypeScript", 49, 0, 0, 0, 8, 57
"c:\Code\2024\blank_app\src\app\api\me\route.ts", "TypeScript", 67, 0, 0, 0, 14, 81
"c:\Code\2024\blank_app\src\app\api\newsletter\[newsletterId]\attachment\[attachmentId]\route.ts", "TypeScript", 83, 0, 0, 1, 4, 88
"c:\Code\2024\blank_app\src\app\api\newsletter\[newsletterId]\attachment\route.ts", "TypeScript", 44, 0, 0, 1, 4, 49
"c:\Code\2024\blank_app\src\app\api\newsletter\[newsletterId]\attachment\signurl\route.ts", "TypeScript", 40, 0, 0, 2, 4, 46
"c:\Code\2024\blank_app\src\app\api\newsletter\[newsletterId]\route.ts", "TypeScript", 100, 0, 0, 1, 5, 106
"c:\Code\2024\blank_app\src\app\api\newsletter\route.ts", "TypeScript", 55, 0, 0, 1, 4, 60
"c:\Code\2024\blank_app\src\app\api\pages\route.ts", "TypeScript", 50, 0, 0, 3, 9, 62
"c:\Code\2024\blank_app\src\app\api\roles\[id]\route.ts", "TypeScript", 134, 0, 0, 3, 8, 145
"c:\Code\2024\blank_app\src\app\api\roles\route.ts", "TypeScript", 87, 0, 0, 0, 6, 93
"c:\Code\2024\blank_app\src\app\api\send-email\route.ts", "TypeScript", 30, 0, 0, 0, 8, 38
"c:\Code\2024\blank_app\src\app\api\settings\key\[key]\route.ts", "TypeScript", 33, 0, 0, 0, 6, 39
"c:\Code\2024\blank_app\src\app\api\settings\public\route.ts", "TypeScript", 18, 0, 0, 0, 5, 23
"c:\Code\2024\blank_app\src\app\api\settings\route.ts", "TypeScript", 54, 0, 0, 0, 10, 64
"c:\Code\2024\blank_app\src\app\api\setup\route.ts", "TypeScript", 40, 0, 0, 2, 7, 49
"c:\Code\2024\blank_app\src\app\api\team\[id]\route.ts", "TypeScript", 28, 0, 0, 0, 6, 34
"c:\Code\2024\blank_app\src\app\api\team\route.ts", "TypeScript", 43, 0, 0, 0, 8, 51
"c:\Code\2024\blank_app\src\app\api\users\[id]\getSignedUrl\route.ts", "TypeScript", 57, 0, 0, 0, 9, 66
"c:\Code\2024\blank_app\src\app\api\users\[id]\route.ts", "TypeScript", 164, 0, 0, 9, 13, 186
"c:\Code\2024\blank_app\src\app\api\users\route.ts", "TypeScript", 87, 0, 0, 2, 10, 99
"c:\Code\2024\blank_app\src\app\content.tsx", "TypeScript JSX", 0, 0, 55, 0, 7, 62
"c:\Code\2024\blank_app\src\app\dashboard\files\page.tsx", "TypeScript JSX", 0, 0, 295, 2, 28, 325
"c:\Code\2024\blank_app\src\app\dashboard\files\upload\page.tsx", "TypeScript JSX", 0, 0, 22, 0, 4, 26
"c:\Code\2024\blank_app\src\app\dashboard\newsletter\[newsletterId]\page.tsx", "TypeScript JSX", 0, 0, 100, 1, 7, 108
"c:\Code\2024\blank_app\src\app\dashboard\newsletter\create\page.tsx", "TypeScript JSX", 0, 0, 11, 1, 4, 16
"c:\Code\2024\blank_app\src\app\dashboard\newsletter\page.tsx", "TypeScript JSX", 0, 0, 183, 5, 10, 198
