Date : 2025-03-11 20:45:46
Directory : c:\Code\2024\blank_app\src
Total : 234 files,  19058 codes, 231 comments, 2307 blanks, all 21596 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        132 |     11,587 |        170 |      1,265 |     13,022 |
| TypeScript     |         98 |      7,311 |         56 |      1,015 |      8,382 |
| CSS            |          4 |        160 |          5 |         27 |        192 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        234 |     19,058 |        231 |      2,307 |     21,596 |
| ThirdPartyServices                                                                                   |          2 |        171 |          0 |         31 |        202 |
| app                                                                                                  |         65 |      5,501 |         62 |        611 |      6,174 |
| app (Files)                                                                                          |          4 |        252 |          4 |         31 |        287 |
| app\about                                                                                            |          2 |        270 |          3 |         16 |        289 |
| app\api                                                                                              |         34 |      2,171 |         31 |        300 |      2,502 |
| app\api\auth                                                                                         |          4 |        265 |          3 |         54 |        322 |
| app\api\auth\login                                                                                   |          1 |         58 |          0 |         14 |         72 |
| app\api\auth\logout                                                                                  |          1 |         47 |          2 |         10 |         59 |
| app\api\auth\refresh                                                                                 |          1 |        101 |          1 |         17 |        119 |
| app\api\auth\signup                                                                                  |          1 |         59 |          0 |         13 |         72 |
| app\api\contact-us                                                                                   |          1 |         40 |          0 |          6 |         46 |
| app\api\data                                                                                         |          1 |         93 |          0 |          8 |        101 |
| app\api\files                                                                                        |          4 |        176 |          0 |         31 |        207 |
| app\api\files (Files)                                                                                |          1 |         51 |          0 |          8 |         59 |
| app\api\files\[id]                                                                                   |          1 |         48 |          0 |          7 |         55 |
| app\api\files\signedUrl                                                                              |          1 |         31 |          0 |          6 |         37 |
| app\api\files\sync                                                                                   |          1 |         46 |          0 |         10 |         56 |
| app\api\inquiry                                                                                      |          4 |        334 |          3 |         53 |        390 |
| app\api\inquiry (Files)                                                                              |          1 |         63 |          0 |         13 |         76 |
| app\api\inquiry\[id]                                                                                 |          3 |        271 |          3 |         40 |        314 |
| app\api\inquiry\[id] (Files)                                                                         |          1 |        143 |          3 |         20 |        166 |
| app\api\inquiry\[id]\reply                                                                           |          2 |        128 |          0 |         20 |        148 |
| app\api\me                                                                                           |          2 |        116 |          0 |         22 |        138 |
| app\api\me (Files)                                                                                   |          1 |         67 |          0 |         14 |         81 |
| app\api\me\getSignedUrl                                                                              |          1 |         49 |          0 |          8 |         57 |
| app\api\newsletter                                                                                   |          5 |        322 |          6 |         21 |        349 |
| app\api\newsletter (Files)                                                                           |          1 |         55 |          1 |          4 |         60 |
| app\api\newsletter\[newsletterId]                                                                    |          4 |        267 |          5 |         17 |        289 |
| app\api\newsletter\[newsletterId] (Files)                                                            |          1 |        100 |          1 |          5 |        106 |
| app\api\newsletter\[newsletterId]\attachment                                                         |          3 |        167 |          4 |         12 |        183 |
| app\api\newsletter\[newsletterId]\attachment (Files)                                                 |          1 |         44 |          1 |          4 |         49 |
| app\api\newsletter\[newsletterId]\attachment\[attachmentId]                                          |          1 |         83 |          1 |          4 |         88 |
| app\api\newsletter\[newsletterId]\attachment\signurl                                                 |          1 |         40 |          2 |          4 |         46 |
| app\api\pages                                                                                        |          1 |         50 |          3 |          9 |         62 |
| app\api\roles                                                                                        |          2 |        221 |          3 |         14 |        238 |
| app\api\roles (Files)                                                                                |          1 |         87 |          0 |          6 |         93 |
| app\api\roles\[id]                                                                                   |          1 |        134 |          3 |          8 |        145 |
